lugar,latitude,longitude
Divino Coração, -29.7825, -55.7912
ESCOLA ESTADUAL DE ENSINO MÉDIO DEMÉTRIO RIBEIRO, -29.7878, -55.7948
Ciep Escola Estadual Escola Estadual Doutor Romário Araújo de Oliveira, -29.7878, -55.8055
Emílio Zuneda, -29.7958, -55.8068
JOAO ANDRE FIGUEIRA, -29.773922,-55.7888682
JOSÉ BONIFÁCIO, -29.8079, -55.8086
JUNTO EMEB WALDEMAR BORGES, -29.8059, -55.7501
E M E B Murillo Nunes De Oliveira, -29.6892, -56.1756
Instituto Estadual de Educação Oswaldo Aranha, -29.7778, -55.7919
PROFESSOR RAYMUNDO LUIZ MARINHO CARVALHO, -29.7837, -55.7917
TANCREDO DE ALMEIDA NEVES, -29.8013, -55.7961